LINK_ID	GEOMETRY
0	LINESTRING (977057.68235638 -4296418.43886966,977060.27364077 -4296421.41285592,977068.0651263 -4296430.3363747,977074.65798814 -4296437.73102857,977207.97998007 -4296603.97636894,977222.56566881 -4296622.84528646,977237.76577514 -4296642.50803772,977259.65245387 -4296670.81785113,977284.26931098 -4296702.64076829,977308.85269462 -4296734.4384168,977339.2570386 -4296775.01987568,977366.70942927 -4296811.67663279,977378.74947198 -4296828.25943573,977414.12654846 -4296876.95628273,977463.97096558 -4296935.06515094,977500.56159541 -4296982.39021582,977505.48487596 -4296988.75272982,977574.63554188 -4297078.19555771,977599.94425231 -4297110.61864455,977601.9570265 -4297113.19441003,977618.34922947 -4297134.34164629,977628.49339082 -4297147.41810585)
1	LINESTRING (977628.49339082 -4297147.41810585,977618.34922947 -4297134.34164629,977601.9570265 -4297113.19441003,977599.94425231 -4297110.61864455,977574.63554188 -4297078.19555771,977505.48487596 -4296988.75272982,977500.56159541 -4296982.39021582,977463.97096558 -4296935.06515094,977414.12654846 -4296876.95628273,977378.74947198 -4296828.25943573,977366.70942927 -4296811.67663279,977339.2570386 -4296775.01987568,977308.85269462 -4296734.4384168,977284.26931098 -4296702.64076829,977259.65245387 -4296670.81785113,977237.76577514 -4296642.50803772,977222.56566881 -4296622.84528646,977207.97998007 -4296603.97636894,977074.65798814 -4296437.73102857,977068.0651263 -4296430.3363747,977060.27364077 -4296421.41285592,977057.68235638 -4296418.43886966)
2	LINESTRING (974919.55668221 -4295893.4629531)
3	LINESTRING (974919.55668221 -4295893.4629531)
4	LINESTRING (964262.10580428 -4281817.45511047)
5	LINESTRING (964262.10580428 -4281817.45511047)
6	LINESTRING (972363.35834459 -4280923.68343197,972386.18887881 -4280920.43029925,972408.99425126 -4280916.24536806,972433.38631071 -4280910.3065984,972457.39399405 -4280903.37096667,972494.0316005 -4280888.51427042,972533.03479226 -4280868.39911402,972565.0842361 -4280848.61569107,972598.28264218 -4280823.94882722,972629.12378325 -4280796.2194146,972651.14595489 -4280772.43276126,972670.89142431 -4280748.7266845,972692.58613462 -4280716.3879167,972708.52108222 -4280688.42789769,972722.25492236 -4280659.17740604)
7	LINESTRING (972722.25492236 -4280659.17740604,972708.52108222 -4280688.42789769,972692.58613462 -4280716.3879167,972670.89142431 -4280748.7266845,972651.14595489 -4280772.43276126,972629.12378325 -4280796.2194146,972598.28264218 -4280823.94882722,972565.0842361 -4280848.61569107,972533.03479226 -4280868.39911402,972494.0316005 -4280888.51427042,972457.39399405 -4280903.37096667,972433.38631071 -4280910.3065984,972408.99425126 -4280916.24536806,972386.18887881 -4280920.43029925,972363.35834459 -4280923.68343197)
8	LINESTRING (971597.98485988 -4289548.57966809)
9	LINESTRING (971597.98485988 -4289548.57966809)
14	LINESTRING (952990.17053993 -4279747.50929029,952983.95374586 -4279745.08300216,952978.86583262 -4279743.6047443,952950.22409544 -4279736.19619866,952943.89743619 -4279733.39093788,952940.8593032 -4279729.80405744,952939.91474889 -4279725.56816188,952939.85639164 -4279720.54601539)
15	LINESTRING (952939.85639164 -4279720.54601539,952939.91474889 -4279725.56816188,952940.8593032 -4279729.80405744,952943.89743619 -4279733.39093788,952950.22409544 -4279736.19619866,952978.86583262 -4279743.6047443,952983.95374586 -4279745.08300216,952990.17053993 -4279747.50929029)
16	LINESTRING (951983.60445864 -4279501.76730713,951981.58969703 -4279496.30869365,951981.61115747 -4279490.03918901)
17	LINESTRING (951981.61115747 -4279490.03918901,951981.58969703 -4279496.30869365,951983.60445864 -4279501.76730713)
20	LINESTRING (950102.76875367 -4279066.53838686,950021.36353827 -4279052.03566086,949858.70728688 -4279022.8884577)
21	LINESTRING (949858.70728688 -4279022.8884577,950021.36353827 -4279052.03566086,950102.76875367 -4279066.53838686)
22	LINESTRING (967909.15610717 -4291297.27325176,967915.1696459 -4291327.29838734,967917.99871209 -4291346.43536345,967919.90462486 -4291361.6823945,967920.81670765 -4291381.69406297,967919.60622066 -4291407.27939476,967917.74049542 -4291432.52745704,967915.91051612 -4291458.2828452)
23	LINESTRING (967915.91051612 -4291458.2828452,967917.74049542 -4291432.52745704,967919.60622066 -4291407.27939476,967920.81670765 -4291381.69406297,967919.90462486 -4291361.6823945,967917.99871209 -4291346.43536345,967915.1696459 -4291327.29838734,967909.15610717 -4291297.27325176)
24	LINESTRING (967787.60406842 -4291345.46413683,967787.67019836 -4291343.78929792,967787.99894451 -4291341.95811158,967788.53569293 -4291340.29072975,967792.35977908 -4291329.89095228,967793.81034068 -4291326.10732094)
25	LINESTRING (967793.81034068 -4291326.10732094,967792.35977908 -4291329.89095228,967788.53569293 -4291340.29072975,967787.99894451 -4291341.95811158,967787.67019836 -4291343.78929792,967787.60406842 -4291345.46413683)
26	LINESTRING (966060.28832979 -4295837.78499323,966081.51340838 -4295832.17173677,966108.47172146 -4295825.53420456,966144.31183717 -4295817.54174105,966180.84878271 -4295809.5092746,966203.13844343 -4295805.04236294,966224.0620184 -4295801.66663499)
27	LINESTRING (966224.0620184 -4295801.66663499,966203.13844343 -4295805.04236294,966180.84878271 -4295809.5092746,966144.31183717 -4295817.54174105,966108.47172146 -4295825.53420456,966081.51340838 -4295832.17173677,966060.28832979 -4295837.78499323)
28	LINESTRING (956989.7367404 -4280648.86094409,956867.68187333 -4280528.05788024)
29	LINESTRING (956867.68187333 -4280528.05788024,956989.7367404 -4280648.86094409)
30	LINESTRING (979821.31824649 -4304668.13870457,979809.68638948 -4304716.08496372,979801.81281371 -4304748.55803971,979783.02269533 -4304826.01424987)
31	LINESTRING (979783.02269533 -4304826.01424987,979801.81281371 -4304748.55803971,979809.68638948 -4304716.08496372,979821.31824649 -4304668.13870457)
32	LINESTRING (998923.25110582 -4294286.51876168,998901.68552656 -4294373.16661293,998887.75749505 -4294426.87069995,998881.34419159 -4294454.9155115,998849.58660971 -4294582.33576999,998824.74986464 -4294682.00382699,998819.50984396 -4294703.04931287,998792.19272491 -4294812.68160738,998790.10427831 -4294821.05569223,998761.02997229 -4294937.75876467,998728.96672318 -4295066.42011749,998721.77881638 -4295095.2699503)
33	LINESTRING (998721.77881638 -4295095.2699503,998728.96672318 -4295066.42011749,998761.02997229 -4294937.75876467,998790.10427831 -4294821.05569223,998792.19272491 -4294812.68160738,998819.50984396 -4294703.04931287,998824.74986464 -4294682.00382699,998849.58660971 -4294582.33576999,998881.34419159 -4294454.9155115,998887.75749505 -4294426.87069995,998901.68552656 -4294373.16661293,998923.25110582 -4294286.51876168)
34	LINESTRING (994461.06682386 -4300211.43771565,994468.3297707 -4300197.46195259)
35	LINESTRING (994468.3297707 -4300197.46195259,994461.06682386 -4300211.43771565)
36	LINESTRING (971507.64009484 -4296167.65233721,971514.50327932 -4296167.43578448,971522.30893427 -4296168.53450163,971528.67840694 -4296170.80725806,971533.84839252 -4296173.27745651,971538.2749444 -4296176.62381063,971545.13575531 -4296183.63498155,971550.68410798 -4296190.30700854)
37	LINESTRING (971550.68410798 -4296190.30700854,971545.13575531 -4296183.63498155,971538.2749444 -4296176.62381063,971533.84839252 -4296173.27745651,971528.67840694 -4296170.80725806,971522.30893427 -4296168.53450163,971514.50327932 -4296167.43578448,971507.64009484 -4296167.65233721)
38	LINESTRING (990112.53828174 -4311621.79476819)
39	LINESTRING (990112.53828174 -4311621.79476819)
42	LINESTRING (987477.84418138 -4308511.13527233,987429.62704723 -4308462.05645627,987376.45123108 -4308408.7238714,987338.49896319 -4308372.7030399,987304.27886872 -4308346.11889457,987265.38598827 -4308320.64302685,987232.4797681 -4308296.452239,987208.64893606 -4308273.07067453,987186.79475116 -4308244.55117917)
43	LINESTRING (987186.79475116 -4308244.55117917,987208.64893606 -4308273.07067453,987232.4797681 -4308296.452239,987265.38598827 -4308320.64302685,987304.27886872 -4308346.11889457,987338.49896319 -4308372.7030399,987376.45123108 -4308408.7238714,987429.62704723 -4308462.05645627,987477.84418138 -4308511.13527233)
46	LINESTRING (987254.92133067 -4308280.7277269,987240.89945853 -4308272.84039263,987230.20347087 -4308265.10385014,987220.30366346 -4308254.61301751,987208.34797288 -4308240.3848809,987191.59986195 -4308214.46201772,987159.45460953 -4308158.21868406,987136.22006724 -4308116.88505828,987102.2595791 -4308055.59212721,987085.21117016 -4308024.46319653,987049.69283747 -4307969.68010266)
47	LINESTRING (987049.69283747 -4307969.68010266,987085.21117016 -4308024.46319653,987102.2595791 -4308055.59212721,987136.22006724 -4308116.88505828,987159.45460953 -4308158.21868406,987191.59986195 -4308214.46201772,987208.34797288 -4308240.3848809,987220.30366346 -4308254.61301751,987230.20347087 -4308265.10385014,987240.89945853 -4308272.84039263,987254.92133067 -4308280.7277269)
